Fund Name,What is the 1-month performance figure?,What is the 3-month performance figure?,What is the 6-month performance figure?,What is the 1-year performance figure?,What is the 3-year performance figure?,What is the 5-year performance figure?,What are the top 10 holdings of the fund_ along with their weights?,What is the asset allocation breakdown for the fund?,What is the geographic allocation of the fund’s investments?,What is the sector breakdown of the fund?,What is the credit quality of the bonds held in the fund?,What is the duration of the bonds held in the fund?,How is the performance of the fund measured against its benchmark?,What is the cumulative performance of the fund for the last month?,What is the quartile ranking of the fund compared to its peers?,Are there any risk warnings specific to this fund?,What is the market capitalisation of the equities held by the fund?,What types of fixed interest assets does the fund hold?,What percentage of the fund is allocated to cash/money market investments?,What are the regulated frameworks under which the fund operates?
Aviva_Pension_MyM_abrdn_Diversified_Growth_[Unnamed_Life-Pension_fund_unit],11.62%,-9.43%,-7.97%,10.14%,-6.83%,-3.19%,"<3i Infrastructure Plc 3i Infrastructure plc Ord NPV,2.8%>,<BioPharma Credit Investments BioPharma Credit Pic Ord USD0.01,2.5%>,<BURFORD CAPITAL LIMITED,1.8%>,<NOTA DE TESORO NACIONAL 10% 01/01/2031,1.3%>,<Greencoat Renewables Plc Greencoat Renewables Plc EUR0.01,1.3%>,<Sequoia Investment Management Company Sequoia Economic Infrastructure Income Fund Ord NPV,1.0%>,<CELLNEX TELECOM SA,1.0%>,<BONOS DE TESORERIA 7.3% 08/12/2033,1.0%>,<WHEATON PRECIOUS METALS CORP.,1.0%>,<GREEN TITULOS DE TESORERIA 7% 03/26/2031,0.9%>","<International Bonds,37.4%>,<International Equities,23.3%>,<Investment Trusts,13.8%>,<Managed Funds,10.2%>,<UK Equities,7.7%>,<Property,2.7%>,<UK Corporate Bonds,0.7%>,<Alternative Trading,0.6%>,<Strategies,0.4%>,<UK Gilts,0.4%>,<Other,0.8%>,<Cash/Money Market,2.6%>","<North America,26.9%>,<UK,8.8%>,<Dev. Europe,3.3%>,<Emerging Europe,2.4%>,<Japan,2.0%>,<Emerging Asia,5.8%>,<Developed Asia,0.2%>,<South & Central America,8.6%>,<Cash/Money Market,2.6%>","<Financials,20.3%>,<Managed Funds,10.2%>,<Real Estate,4.3%>,<Technology,4.3%>,<Industrials,2.2%>,<Basic Materials,2.1%>,<Consumer Discretionary,1.7%>,<Utilities,1.5%>,<Health Care,1.4%>,<Telecommunications,1.4%>,<Consumer Staples,1.0%>,<Energy,0.7%>,<Other,46.4%>,<Cash/Money Market,2.6%>","<AAA,4.4%>,<AA,2.1%>,<A,3.2%>,<BBB,12.9%>,<BB,4.0%>,<B,0.7%>,<Less than CCC,0.0%>,<Cash/Money Market,2.6%>,<Not Rated,10.4%>,<Non Debt,59.9%>",NA,NA,NA,NA,Yes,NA,NA,2.60%,NA
Aviva_Pension_MyM_Baillie_Gifford_High_Yield_Bond_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,17.84%,5.75%,13.48%,"<UK T Bill 23/12/2024,2.0%>,<Barclays 7.125% 2025 Perp AT1,1.7%>,<Gannett Hlds 6% 2026 (144A),1.6%>,<IMA E+3.75% FRN 2029,1.6%>,<Aggreko 6.125% 2026 (144A),1.6%>,<UK T Bill 18/11/2024,1.6%>,<Brightline East 11% 2030 (144A),1.5%>,<Neopharmed 7.125% 2030,1.5%>,<Teva Pharma 7.375% 2029,1.5%>,<UK T Bill 30/12/2024,1.4%>","<International Bonds,82.1%>,<UK Corporate Bonds,14.2%>,<Alternative Trading Strategies,1.3%>,<Other,2.7%>","<North America,33.5%>,<UK,14.2%>,<Dev. Europe,42.7%>,<Emerging Europe,0.4%>,<Developed Asia,0.6%>",NA,"<AAA,0.0%>,<AA,0.0%>,<A,0.0%>,<BBB,17.6%>,<BB,25.0%>,<B,6.0%>,<Less than CCC,3.6%>,<Cash/Money Market, -0.3%>,<Not Rated,49.1%>,<Non Debt,4.0%>",NA,NA,NA,"<1,1,1>","<A - General,Yes>,<B - Foreign Exchange Risk,Yes>,<C - Emerging Markets,No>,<D - Smaller Companies,No>,<E - Fixed Interest,Yes>,<F - Derivatives,Yes>,<G - Cash/Money Market Funds,No>,<H - Property Funds,No>,<I - High Yield Bonds,Yes>,<J - Reinsured Funds,No>,<K - Long Term Asset Funds,No>",NA,NA,NA,NA
Aviva_Pension_MyM_Baillie_Gifford_International_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,27.77%,-2.70%,56.55%,"<MICROSOFT CORPORATION,4.2%>,<META PLATFORMS,4.0%>,<AMAZON.COM,3.7%>,<ELEVANCE HEALTH,3.2%>,<NVIDIA CORPORATION,3.2%>,<MARTIN MARIETTA MATERIALS,3.1%>,<CRH,2.9%>,<TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY LIMITED,2.7%>,<PROSUS N.V.,2.7%>,<DOORDASH,2.3%>","<North American Equities,65.0%>,<Developed Europe Equities,18.6%>,<Emerging Asia Equities,7.2%>,<Japan Equities,4.0%>,<Developed Asia Equities (ex Japan),2.5%>,<South & Central America Equities,1.3%>,<UK Equities,0.9%>,<Cash/Money Market,0.6%>","<North America,65.0%>,<Developed Europe,18.6%>,<Emerging Asia,7.2%>,<Japan,4.0%>,<Developed Asia,2.5%>,<South & Central America,1.3%>,<UK,0.9%>,<Cash/Money Market,0.6%>","<Technology,31.0%>,<Consumer Discretionary,21.6%>,<Industrials,20.0%>,<Health Care,11.9%>,<Financials,7.3%>,<Basic Materials,2.4%>,<Energy,2.1%>,<Real Estate,1.9%>,<Telecommunications,0.7%>,<Consumer Staples,0.5%>,<Cash/Money Market,0.6%>",NA,NA,NA,NA,"<1,4,2>",Yes,"<Mega (Greater than 50bn),29.6%>,<Large (3bn-50bn),48.5%>,<Medium (1bn-3bn),5.5%>,<Small (50m-1bn),1.7%>,<Micro (Less than 50m),0.0%>,<Other,14.2%>,<Cash/Money Market,0.6%>",NA,"<Cash/Money Market,0.6%>",NA
Aviva_Pension_MyM_Baillie_Gifford_Long_Term_Global_Growth_Investment_[Unnamed_Life-Pension_fund_unit],28.02%,8.33%,-38.15%,21.39%,-15.63%,107.32%,"<NVIDIA CORPORATION,6.9%>,<AMAZON.COM,6.4%>,<MEITUAN,4.6%>,<PDD HOLDINGS INC,4.1%>,<ASML HOLDING N.V.,4.1%>,<TRADE DESK INC(THE),3.9%>,<INTUITIVE SURGICAL,3.9%>,<NETFLIX,3.5%>,<ADYEN N.V.,3.4%>,<MERCADOLIBRE,3.3%>","<North American Equities,68.1%>,<Emerging Asia Equities,17.0%>,<Developed Europe Equities,14.3%>,<Cash/Money Market,0.6%>","<North America,68.1%>,<Emerging Asia,17.0%>,<Developed Europe,14.3%>","<Technology,40.7%>,<Consumer Discretionary,34.4%>,<Health Care,10.6%>,<Industrials,6.8%>,<Financials,3.7%>,<Consumer Staples,1.7%>,<Energy,1.5%>,<Cash/Money Market,0.6%>",NA,NA,NA,28.02%,"<1,3>",Yes,"<Mega (Greater than 50bn),26.7%>,<Large (3bn-50bn),45.1%>,<Medium (1bn-3bn),1.7%>,<Small (50m-1bn),0.0%>,<Micro (Less than 50m),1.5%>,<Other,24.3%>,<Cash/Money Market,0.6%>",NA,0.60%,NA
Aviva_Pension_MyM_Baillie_Gifford_Managed_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,21.37%,-12.80%,31.08%,"<TRADE DESK INC(THE),1.6%>,<AMAZON.COM,1.5%>,<TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY LIMITED,1.4%>,<META PLATFORMS,1.2%>,<PROSUS N.V.,1.1%>,<3⅜% Treasury Gilt 2025,1.1%>,<SHOPIFY,1.0%>,<ASML HOLDING N.V.,1.0%>,<NETFLIX,1.0%>,<NVIDIA CORPORATION,1.0%>","<International Equities,59.6%>,<UK Equities,19.3%>,<International Bonds,13.1%>,<UK Corporate Bonds,3.2%>,<UK Gilts,1.1%>,<Property,0.2%>,<Alternative Trading,0.1%>,<Other,1.2%>,<Cash/Money Market,2.3%>","<North America,25.6%>,<UK,23.5%>,<Developed Europe,23.3%>,<Emerging Europe,0.4%>,<Japan,8.8%>,<Emerging Asia,2.1%>,<Middle East & Africa,0.6%>,<South & Central America,2.8%>,<Australia & New Zealand,1.3%>","<Consumer Discretionary,17.1%>,<Technology,17.0%>,<Industrials,15.3%>,<Financials,11.7%>,<Health Care,7.5%>,<Consumer Staples,4.5%>,<Basic Materials,2.1%>,<Telecommunications,1.4%>,<Government Bonds,1.1%>,<Energy,0.9%>,<Alternative Trading,0.1%>,<Strategies,17.5%>,<Cash/Money Market,2.3%>","<AAA,3.5%>,<AA,1.1%>,<A,1.2%>,<BBB,2.2%>,<BB,2.0%>,<B,0.7%>,<Less than CCC,0.0%>,<Cash/Money Market,2.3%>,<Not Rated,6.6%>,<Non Debt,80.4%>",NA,NA,NA,1,Yes,NA,NA,2.30%,NA
Aviva_Pension_MyM_Baillie_Gifford_Multi_Asset_Growth_[Unnamed_Life-Pension_fund_unit],16.57%,-1.46%,-15.52%,10.51%,-6.63%,4.41%,"<UK T Bill 18/11/2024,5.9%>,<TERNA SPA,3.2%>,<Australia 1.75% 21/06/2051,2.3%>,<Australia 3% 21/03/2047,2.3%>,<Prytanian Investment Advisors LLP Galene Class C,1.9%>,<EVERSOURCE ENERGY,1.8%>,<SEVERN TRENT,1.8%>,<UNITED UTILITIES GROUP,1.7%>,<IBERDROLA SA,1.3%>,<US Treasury 2.875% 15/05/2052,1.3%>","<International Equities,34.7%>,<International Bonds,26.0%>,<UK Corporate Bonds,6.3%>,<Property,5.7%>,<Managed Funds,5.4%>,<Investment Trusts,5.2%>,<UK Equities,4.6%>,<Commodities,3.1%>,<Alternative Trading,2.7%>,<Strategies,4.8%>,<Cash/Money Market,1.6%>","<North America,16.4%>,<UK,10.4%>,<Dev. Europe,14.8%>,<Emerging Europe,3.5%>,<Japan,0.6%>,<Australia & New Zealand,5.9%>,<Middle East & Africa,4.9%>,<South & Central America,6.6%>","<Utilities,17.9%>,<Real Estate,8.2%>,<Financials,7.9%>,<Managed Funds,5.4%>,<Technology,3.4%>,<Commodities,3.1%>,<Industrials,2.9%>,<Basic Materials,2.7%>,<Alternative Trading,2.7%>,<Consumer Discretionary,2.4%>,<Consumer Staples,1.1%>,<Health Care,0.8%>,<Other,40.0%>,<Cash/Money Market,1.6%>","<AAA,3.7%>,<AA,0.2%>,<A,1.4%>,<BBB,2.7%>,<BB,2.2%>,<B,2.0%>,<Less than CCC,0.1%>,<Cash/Money Market,1.6%>,<Not Rated,19.9%>,<Non Debt,66.2%>",NA,NA,NA,NA,"<General Risk,Yes>,<Foreign Exchange Risk,Yes>,<Emerging Markets,Yes>,<Smaller Companies,No>,<Fixed Interest,Yes>,<Derivatives,Yes>,<Cash/Money Market Funds,No>,<Property Funds,No>,<High Yield Bonds,No>,<Reinsured Funds,No>,<Long Term Asset Funds,No>",NA,NA,1.60%,NA
Aviva_Pension_MyM_Baillie_Gifford_Positive_Change_[Unnamed_Life-Pension_fund_unit],4.59%,8.59%,19.41%,19.41%,NA,NA,"<MERCADOLIBRE,8.9%>,<TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY LIMITED,7.2%>,<ALNYLAM PHARMACEUTICALS,6.1%>,<ASML HOLDING N.V.,5.9%>,<DUOLINGO INC,5.5%>,<SHOPIFY,5.3%>,<BANK RAKYAT INDONESIA (PERSERO) TBK PT,5.0%>,<NU HOLDINGS,4.9%>,<HDFC BANK LIMITED,4.7%>,<AUTODESK,4.5%>","<North American Equities,66.9%>,<Emerging Asia Equities,16.8%>,<Developed Europe Equities,15.7%>,<Middle East & Africa Equities,0.2%>,<Cash/Money Market,0.4%>","<North America,66.9%>,<Emerging Asia,16.8%>,<Developed Europe,15.7%>,<Middle East & Africa,0.2%>,<Cash/Money Market,0.4%>","<Technology,23.8%>,<Health Care,23.4%>,<Consumer Discretionary,20.9%>,<Financials,14.6%>,<Industrials,12.9%>,<Basic Materials,3.9%>,<Telecommunications,0.2%>,<Cash/Money Market,0.4%>",NA,NA,NA,NA,4,Yes,"<Mega (Greater than 50bn),33.6%>,<Large (3bn-50bn),49.4%>,<Medium (1bn-3bn),2.8%>,<Small (50m-1bn),0.0%>,<Micro (Less than 50m),0.0%>,<Other,13.8%>,<Cash/Money Market,0.4%>",NA,0.40%,NA
Aviva_Pension_MyM_Baillie_Gifford_UK_Equity_Core_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,20.76%,3.57%,21.67%,"<ASTRAZENECA,4.5%>,<MARKS & SPENCER GROUP P.L.C.,4.3%>,<BUNZL,4.1%>,<RIO TINTO,3.9%>,<UNILEVER,3.7%>,<AUTO TRADER GROUP,3.5%>,<RELX,3.4%>,<INCHCAPE,3.2%>,<LEGAL & GENERAL GROUP,3.1%>,<DIAGEO,3.1%>","<UK Equities,97.9%>,<Real Estate Investment Trusts,1.0%>,<Cash/Money Market,1.1%>","<United Kingdom,97.9%>,<Direct Property and REITs,1.0%>,<Cash/Money Market,1.1%>","<Industrials,26.5%>,<Financials,22.4%>,<Consumer Discretionary,17.8%>,<Consumer Staples,12.8%>,<Health Care,7.5%>,<Real Estate,3.9%>,<Technology,3.9%>,<Basic Materials,3.9%>,<Energy,0.2%>,<Cash/Money Market,1.1%>",NA,NA,NA,NA,"<1,1>",Yes,"<Mega (Greater than 50bn,15.1%)>,<Large (3bn-50bn,57.0%)>,<Medium (1bn-3bn,17.8%)>,<Small (50m-1bn,8.6%)>,<Micro (Less than 50m,0.0%)>,<Other,0.3%>,<Cash/Money Market,1.1%>",NA,NA,NA
Aviva_Pension_MyM_BlackRock_(10-80-10)_Currency_Hedged_Global_Eq_(Aq_C)_[Unnamed_Life-Pension_fund_unit],23.21%,17.70%,NA,26.54%,21.80%,59.08%,"<Microsoft Corporation,1.8%>,<Samsung Electronics Co. Ltd,1.6%>,<Apple,1.5%>,<Novo Nordisk A/S,1.4%>,<Nvidia Corp,1.3%>,<ASML Holding N.V.,1.1%>,<Taiwan Semiconductor Manufacturing Co.,1.0%>,<Amazon.com,1.0%>,<Toyota Motor Corporation,0.8%>,<Nestle S.A.,0.8%>","<Developed Europe Equities,26.6%>,<North American Equities,25.6%>,<Japan Equities,13.0%>,<Emerging Asia Equities,11.5%>,<UK Equities,9.0%>,<Developed Asia Equities (ex Japan),8.0%>,<Real Estate Investment Trusts,1.2%>,<Middle East & Africa Equities,0.9%>,<Non-Classified Equities,0.9%>,<South & Central America Equities,0.6%>,<Investment Trusts,0.5%>,<Emerging Europe Equities,0.4%>,<Other,0.8%>,<Cash/Money Market,0.9%>","<North America,25.6%>,<UK,9.0%>,<Developed Europe,26.7%>,<Emerging Europe,0.4%>,<Emerging Asia,11.5%>,<Japan,13.0%>,<Developed Asia,2.5%>,<Cash/Money Market,0.9%>,<Australia & New Zealand,5.6%>","<Financials,17.2%>,<Technology,16.9%>,<Industrials,14.7%>,<Consumer Discretionary,13.5%>,<Health Care,10.8%>,<Consumer Staples,6.2%>,<Basic Materials,5.0%>,<Energy,4.3%>,<Telecommunications,4.2%>,<Utilities,2.8%>,<Real Estate,2.5%>,<Managed Funds,0.2%>,<Other,0.7%>,<Cash/Money Market,0.9%>",NA,NA,NA,NA,"<1,1,2>",Yes,"<Mega (Greater than 50bn),37.4%>,<Large (3bn-50bn),50.1%>,<Medium (1bn-3bn),3.3%>,<Small (50m-1bn),0.6%>,<Micro (Less than 50m),0.0%>,<Other,7.6%>,<Cash/Money Market,0.9%>",NA,0.90%,NA
Aviva_Pension_MyM_BlackRock_(30-70)_Currency_Hdgd_Global_Equity_Tracker_[Unnamed_Life-Pension_fund_unit],NA,NA,NA,27.38%,21.81%,59.69%,"<APPLE,3.2%>,<NVIDIA CORPORATION,3.1%>,<MICROSOFT CORPORATION,3.1%>,<ASTRAZENECA,2.1%>,<SHELL,2.0%>,<AMAZON.COM,1.7%>,<HSBC HOLDINGS,1.7%>,<UNILEVER,1.3%>,<META PLATFORMS,1.2%>,<ALPHABET INC,1.0%>","<North American Equities,45.0%>,<UK Equities,26.1%>,<Developed Europe Equities,9.5%>,<Emerging Asia Equities,7.5%>,<Japan Equities,4.1%>,<Developed Asia Equities,2.0%>,<Investment Trusts,1.6%>,<Real Estate Investment Trusts,1.3%>,<Middle East & Africa Equities,1.0%>,<South & Central America Equities,0.6%>,<Non-Classified Equities,0.4%>,<Emerging Europe Equities,0.2%>,<Other,0.2%>,<Cash/Money Market,0.3%>","<North America,44.9%>,<UK,26.1%>,<Developed Europe,7.7%>,<Emerging Europe,0.2%>,<Japan,4.1%>,<Emerging Asia,7.5%>,<Middle East & Africa,1.0%>,<South & Central America,0.6%>","<Technology,22.0%>,<Financials,17.5%>,<Consumer Discretionary,13.2%>,<Industrials,12.5%>,<Health Care,10.7%>,<Consumer Staples,6.5%>,<Energy,5.3%>,<Basic Materials,4.1%>,<Utilities,2.6%>,<Telecommunications,2.5%>,<Real Estate,2.4%>,<Managed Funds,0.1%>,<Other,0.4%>,<Cash/Money Market,0.3%>",NA,NA,NA,24.53%,1,Yes,"<Mega (Greater than 50bn),39.8%>,<Large (3bn-50bn),46.4%>,<Medium (1bn-3bn),3.4%>,<Small (50m-1bn),1.3%>,<Micro (Less than 50m),0.0%>,<Other,8.8%>,<Cash/Money Market,0.3%>","<Fixed Interest,Not Applicable>",0.30%,NA
